roll_no,total_time,compiled,compiled successfully,ran_tests,test_results,modified,add_lines,change,remove_lines,cps,paste_lines,max_pastes,average_test_results,avg_paste,op
A2016\student7386,956128,221,131,101,526,5429,5570,4381,1582,0.037835938,4444,184,5.207920792,8.140414041,1
A2016\student7392,5690080,1567,1381,671,2548,31723,18985,25621,2091,0.008491269,11092,20000,3.797317437,4.355932203,0
A2016\student7421,1437592,257,180,202,617,8386,2702,6907,296,0.001186707,637,3,3.054455446,2.678178964,0
A2016\student7425,,,,,,35,,,,,,,,,0
A2016\student7429,1179968,199,126,131,10,6575,2578,5782,746,0.008950243,1723,99,0.076335878,6.129425421,0
A2016\student7438,160,,,,,1,,1,,0,,,,,0
A2016\student7443,1402688,167,50,173,177,9947,2090,8830,369,0.00153491,797,58,1.023121387,2.701380176,1
A2016\student7457,5673904,1161,931,670,1199,29273,10624,24548,1226,0.002179099,4772,64,1.789552239,2.590947192,1
A2016\student7485,4802800,867,509,215,577,28443,8237,24667,2877,0.007665737,3391,162,2.68372093,10.85726924,1
A2016\student7492,222288,48,15,3,,1317,165,1232,78,0.00577629,87,68,,14.75862069,0
A2016\student7495,2319664,220,43,95,0,16442,3719,14421,698,0.006631133,1022,346,0,15.05088063,1
A2016\student7496,393048,82,19,3,9,2110,891,1735,107,0.008408642,458,267,3,7.216157205,1
A2016\student7507,5410656,1123,849,540,559,30636,8472,25729,645,0.002098082,3187,134,1.035185185,3.561970505,0
A2016\student7525,42720,,,16,0,27,1056,1,,0.075257491,1044,81,0,3.079501916,0
A2016\student7540,4316424,807,560,441,732,18893,7810,16309,1447,0.004003777,4487,120,1.659863946,3.851571206,1
A2016\student7589,316968,153,139,3,0,1835,357,1587,37,0.000239772,48,2,0,1.583333333,0
A2016\student7597,8312,1,,,,30,683,20,144,0.693455245,681,152,,8.464023495,0
A2016\student7616,8109224,2640,1961,571,1520,55130,16901,44314,3131,0.003421166,7038,322,2.661996497,3.9418869,1
A2016\student7643,0,,,,,15,,,,,,,,,0
A2016\student7655,1703480,358,248,223,366,8630,5176,6780,373,0.008014183,3240,199,1.641255605,4.213580247,0
A2016\student7665,10135128,2185,1635,1283,1484,52950,18820,35696,2316,0.002157743,8965,152,1.156664069,2.439375349,0
A2016\student7671,8229784,2307,1700,946,1423,54643,17821,46777,4935,0.00242959,7114,74,1.50422833,2.810655046,0
A2016\student7673,481760,28,11,57,232,1470,1003,1123,81,0.005272335,724,61,4.070175439,3.508287293,1
A2016\student7677,624,,,,,1,16,,,0.036858974,16,2,,1.4375,0
A2016\student7678,14235456,1942,1438,1175,1090,64175,23694,54313,6595,0.004197266,10550,251,0.927659574,5.663507109,1
A2016\student7697,736656,163,127,99,373,3110,1616,2533,227,0.00307199,884,3,3.767676768,2.559954751,1
A2016\student7704,1952496,190,82,231,241,14592,2771,12839,287,0.001355188,524,37,1.043290043,5.049618321,1
A2016\student7713,4732696,831,667,426,639,29560,11624,25062,669,0.012016407,6504,170,1.5,8.743849938,0
A2016\student7735,33600,1581,1564,204,374,76,2476,1,,0.186041667,2475,3,1.833333333,2.525656566,0
A2016\student7755,13543984,5858,4744,1192,2139,80984,33587,64685,7055,0.005454525,12750,760,1.794463087,5.794196078,0
A2016\student7771,10704,6,6,,,31,60,12,,0.007100149,46,2,,1.652173913,0
A2016\student7773,3860400,938,689,606,1037,18717,10022,15929,1072,0.004578541,6251,103,1.711221122,2.827547592,0
A2016\student7774,7864880,1369,886,763,1432,43404,16110,36339,3287,0.00294906,6137,162,1.876802097,3.779371028,0
A2016\student7791,152672,22,16,15,65,529,770,345,83,0.013912178,644,70,4.333333333,3.298136646,0
A2016\student7799,6216296,1679,1188,925,837,32501,12898,26288,2605,0.003293119,6276,120,0.904864865,3.26179095,0
A2016\student7802,9124408,2343,1654,981,1572,42622,15740,36614,2147,0.002993948,8379,176,1.602446483,3.260293591,1
A2016\student7810,5910168,1634,1256,589,1160,29384,11940,25704,987,0.012170212,7474,289,1.969439728,9.623762376,0
A2016\student7820,3983976,929,711,100,249,23322,15509,18333,3206,0.00721917,8203,154,2.49,3.506156284,0
A2016\student7823,1194856,580,517,53,3,5713,1542,5127,117,0.002656387,624,167,0.056603774,5.086538462,0
A2016\student7830,64696,18,14,5,6,147,534,80,147,0.057159639,482,145,1.2,7.67219917,0
A2016\student7834,0,,,,,69,,,,,,,,,0
A2016\student7857,726528,11,7,,,431,628,54,1,0.002216019,619,3,,2.600969305,0
A2016\student7868,656728,,,,,343,142,,143,0.000484219,142,3,,2.23943662,0
A2016\student7888,8335888,1564,958,1051,862,31921,18850,26057,3293,0.003611493,11153,143,0.820171265,2.699273738,1
A2016\student7891,8177168,2859,2220,751,1090,44470,19325,37245,2724,0.005518414,9038,974,1.451398136,4.992808143,0
A2016\student7911,3994744,856,556,762,897,21339,8961,18395,1215,0.005952071,5243,132,1.177165354,4.534999046,1
A2016\student7948,4068328,1033,769,290,788,23202,6226,20081,1000,0.004193615,2386,251,2.717241379,7.150461023,0
A2016\student7956,888200,88,58,71,277,3757,2339,3167,152,0.008087143,1787,74,3.901408451,4.019585898,1
A2016\student7970,3456816,760,629,374,665,21751,3842,19785,267,0.001173334,1177,63,1.778074866,3.446049278,0
A2016\student7977,37920,,,,,1,,,8,0,,,,,0
A2016\student7980,5165288,1480,777,694,933,27613,9213,23728,1253,0.006370797,4448,172,1.344380403,7.398156475,1
A2016\student7985,7738856,1522,1032,543,503,39140,14519,33361,2909,0.002462767,6831,156,0.926335175,2.79007466,1
A2016\student8004,20744,23,21,,,111,116,90,6,0.012051678,100,3,,2.5,0
A2016\student8006,7772936,1901,1513,881,1000,40948,18352,33130,2222,0.002817468,8204,150,1.13507378,2.669429547,0
A2016\student8025,36960,,,,,1,10,,,0.000324675,10,2,,1.2,0
A2016\student8029,3280056,857,632,351,1434,15533,6184,13692,546,0.004804186,3965,760,4.085470085,3.974274905,0
A2016\student8035,1685656,260,174,45,196,15033,3602,12220,343,0.000778925,309,42,4.355555556,4.249190939,1
A2016\student8043,7599176,2155,1345,540,691,39356,12791,33559,2061,0.002403287,5388,143,1.27962963,3.389569414,1
A2016\student8051,5737984,1075,782,511,1115,34214,15146,28302,1454,0.004367213,6896,220,2.181996086,3.633845708,1
A2016\student8055,167944,27,25,16,38,1038,235,888,52,0.00267351,59,36,2.375,7.610169492,0
A2016\student8067,5121448,1920,1124,546,1097,26952,8597,24025,1370,0.005892669,4875,120,2.009157509,6.190564103,1
A2016\student8069,1028352,116,81,118,531,4582,1577,4156,69,0.005066359,1041,88,4.5,5.004803074,1
A2016\student8085,9558128,1809,1466,640,615,63345,12323,56859,1123,0.001583678,3972,104,0.9609375,3.810926485,0
A2016\student8089,2948448,808,491,368,442,17306,8504,14855,1673,0.014767091,5246,220,1.201086957,8.299656881,1
A2016\student8100,1479408,216,155,204,655,6498,2620,5551,195,0.00275786,1506,3,3.210784314,2.709163347,1
A2016\student8110,6579168,1118,789,609,1269,39207,18027,31658,4954,0.008166534,9544,246,2.083743842,5.629610226,1
A2016\student8118,10124376,2584,1649,1478,2035,44307,14915,36680,2449,0.002102846,5960,188,1.376860622,3.572147651,1
A2016\student8119,275088,,,,,232,,1,,0,,,,,0
A2016\student8124,413976,21,18,92,212,2501,2344,2083,357,0.028110325,1941,115,2.304347826,5.995363215,1
A2016\student8133,1876080,334,219,174,302,11498,3355,9935,552,0.005451793,1365,120,1.735632184,7.493040293,1
A2016\student8139,2975688,691,577,365,848,14886,7108,12861,590,0.003509104,4426,83,2.323287671,2.35924085,0
A2016\student8152,3151896,831,560,412,540,15729,7354,13265,430,0.002687906,3382,164,1.310679612,2.505026611,1
A2016\student8157,3122872,838,544,272,426,17479,4895,15309,360,0.001872635,1920,83,1.566176471,3.045833333,0
A2016\student8187,2094344,211,83,368,541,11191,6689,9222,997,0.006510392,4030,120,1.470108696,3.38337469,1
A2016\student8189,48,,,,,16,,,,0,,,,,0
A2016\student8192,2926080,534,387,589,952,15298,4761,13267,307,0.001688607,2078,37,1.616298812,2.377767084,1
A2016\student8195,3857760,1007,512,344,345,21617,5355,18916,904,0.002659834,2026,322,1.002906977,5.064659427,1
A2016\student8199,5199304,1381,1068,570,822,24031,13341,19777,2704,0.004404436,7917,322,1.442105263,2.892509789,1
A2016\student8209,48,,,,,11,,,,0,,,,,0
A2016\student8224,8805992,1273,842,712,636,52288,16186,45640,1500,0.003704409,7189,760,0.893258427,4.53762693,0
A2016\student8264,4002072,493,263,726,515,17637,4271,15511,836,0.004736796,1718,122,0.709366391,11.03434226,1
A2016\student8288,3051024,404,259,385,520,21558,7829,18240,868,0.008651194,2653,9301,1.350649351,9.94911421,1
A2016\student8295,4798280,1125,726,508,401,24919,8930,21752,1748,0.005790617,4985,120,0.789370079,5.573721163,1
A2016\student8308,176,1,1,,,2,30,,,0.289772727,29,2,,1.75862069,0
A2016\student8317,4279120,968,579,453,874,20069,6960,16853,1847,0.004346688,2870,83,1.929359823,6.480836237,1
A2016\student8319,772536,72,37,51,148,4595,1341,3969,273,0.001984374,558,51,2.901960784,2.747311828,0
A2016\student8329,5973344,1320,907,874,672,32331,13105,27093,2305,0.005894688,6159,432,0.768878719,5.716999513,0
A2016\student8337,15881440,3340,2742,732,1423,89926,21757,79339,3235,0.002258611,8336,107,1.943989071,4.303023033,0
A2016\student8349,48,,,,,9,,,,0,,,,,0
A2016\student8357,9486976,2457,1955,943,1166,46301,13324,40782,2910,0.005054087,7816,102,1.236479321,6.134595701,1
A2016\student8363,7219040,2036,1648,510,1295,45019,14313,38709,3076,0.001956216,6348,30,2.539215686,2.224637681,1
A2016\student8367,1638056,279,217,74,154,10052,1374,9052,301,0.001156249,160,125,2.081081081,11.8375,0
A2016\student8370,33120,4064,4000,512,304,53,2617,1,,0.200634058,2616,3,0.59375,2.540137615,0
A2016\student8387,72,,,,,10,,,,0,,,,,0
A2016\student8389,1056,,,,,139,,,,0,,,,,0
A2016\student8393,6288,,,,,4,299,,83,0.124522901,299,3,,2.618729097,0
A2016\student8419,1308960,296,152,101,183,8541,1824,7353,680,0.002158966,295,72,1.811881188,9.579661017,0
A2016\student8430,5399312,1362,915,1258,3236,20138,12153,16817,728,0.005355497,8208,760,2.572337043,3.522904483,1
A2016\student8444,796608,648,627,218,571,2542,3446,1902,288,0.00910611,2944,3,2.619266055,2.463994565,0
A2016\student8480,6804760,1163,713,1042,2150,34526,15679,28436,2717,0.003148825,6308,136,2.063339731,3.396797717,1
A2016\student8497,3182480,425,340,217,557,15444,3029,13834,144,0.002495538,1401,3000,2.566820276,5.668807994,0
A2016\student8518,12729656,2983,2078,757,1321,66092,26805,56546,5269,0.005291345,15358,446,1.745046235,4.385792421,1
A2016\student8520,1800744,294,207,242,947,9907,3774,8272,428,0.0020436,1421,3,3.91322314,2.589725545,1
A2016\student8524,168,,,1,,7,,,,0,,,,,0
A2016\student8532,135096,12,9,62,,382,1173,286,510,0.024863801,1095,47,,3.067579909,0
A2016\student8540,4986624,833,514,755,1036,23654,8812,20823,1249,0.003832453,5140,120,1.37218543,3.718093385,1
A2016\student8552,7451920,1228,1083,465,1143,33649,9978,29227,1011,0.001470762,4314,157,2.458064516,2.5405656,0
A2016\student8560,5349072,599,369,746,684,34053,6898,29906,3228,0.000959232,1740,113,0.91689008,2.948850575,1
A2016\student8561,2767304,383,211,348,394,15608,5549,13554,779,0.003622298,3132,79,1.132183908,3.200510856,1
A2016\student8576,10265848,4190,3170,1255,1073,52065,26700,42665,5175,0.004764536,15595,300,0.85498008,3.136389869,0
A2016\student8580,296136,65,54,8,,1296,662,897,54,0.000783424,136,2,,1.705882353,0
A2016\student8593,5480,3,,,,144,7,52,,0,,,,,0
A2016\student8598,3182240,735,496,362,562,14612,7426,12096,2275,0.009660491,4371,160,1.552486188,7.033173187,1
A2016\student8599,9669720,2156,1550,900,1806,39430,13715,33808,2007,0.002484043,7002,176,2.006666667,3.430448443,1
A2016\student8626,1675888,408,234,72,0,9978,1431,9156,608,0.000918319,487,53,0,3.160164271,0
A2016\student8631,57,,,,,3,2,1,390,0,,,,,1
A2016\student8638,48,,,,,1,2,,,0,,,,,0
A2016\student8665,8746480,1629,1065,915,1368,48427,15326,41736,3771,0.005766205,7301,153,1.495081967,6.907820846,1
A2016\student8670,2845832,517,262,724,1336,16687,10738,14076,2376,0.017100447,7690,160,1.845303867,6.328348505,1
A2016\student8724,2836856,419,235,547,925,15273,7490,12878,2420,0.012092612,4247,120,1.691042048,8.077466447,1
A2016\student8730,16272,4,4,,,13,54,12,,0.006145526,54,2,,1.851851852,0
A2016\student8733,26472,1,1,10,0,22,749,,,0.080197945,745,3,0,2.84966443,0
A2016\student8747,9524904,1962,1638,422,1047,70324,19476,60422,4847,0.002078656,5296,120,2.481042654,3.738481873,0
A2016\student8753,627944,188,101,35,135,4046,599,3512,71,0,,,3.857142857,,1
A2016\student8755,4021224,1348,1079,427,1728,15628,7123,12287,1812,0.004157441,3109,245,4.046838407,5.377291734,0
A2016\student8774,5948424,590,334,643,526,33692,10362,29251,2426,0.004395114,4762,120,0.818040435,5.490130197,1
A2016\student8776,7916120,2256,1648,420,1608,39312,14058,33600,2143,0.004504732,6998,113,3.828571429,5.09574164,1
A2016\student8780,12831880,3978,2945,851,1089,57707,28568,47860,4611,0.006718111,14608,574,1.279670975,5.901286966,0
A2016\student8794,2157336,514,400,228,251,13256,3252,11066,385,0.001599195,1059,94,1.100877193,3.257790368,1
A2016\student8796,2329744,462,213,149,272,13794,4744,12268,1394,0.006618753,2881,120,1.825503356,5.352308226,1
A2016\student8797,9959768,2597,2021,957,1895,52139,14103,45438,1697,0.001767712,5614,152,1.98014629,3.136088351,1
A2016\student8819,3444744,814,614,257,577,18852,5210,16425,359,0.001462518,1742,84,2.245136187,2.892078071,0
A2016\student8846,498248,56,33,152,588,1612,3481,1212,333,0.015841509,3121,107,3.868421053,2.528997116,0
A2016\student8854,11686392,1636,1198,1417,2124,57489,35700,46943,5496,0.008522733,22893,151,1.498941426,4.350674879,0
A2016\student8860,,,,,,29,,,,,,,,,0
A2016\student8863,2315648,556,437,141,479,13012,3468,11332,403,0.002499084,1527,162,3.397163121,3.78978389,1
A2016\student8864,4914192,1684,1294,546,1041,25155,10327,20706,1809,0.002382691,4790,64,1.906593407,2.444467641,1
A2016\student8886,12813616,3093,2322,677,774,64938,21285,54249,5052,0.00366493,7952,181,1.143279173,5.90555835,1
A2016\student8892,5338384,701,352,964,638,34472,8888,29852,2103,0.002446995,2514,132,0.661825726,5.19610183,1
A2016\student8909,5790704,843,606,608,817,39150,11782,29562,1502,0.006298198,7101,160,1.34375,5.136037178,0
A2016\student8923,67134,52,44,6,6,247,322,173,71,0.009250156,269,23,1,2.308550186,0
A2016\student8957,4319064,526,308,793,1101,21191,11507,18136,863,0.005075868,7890,4,1.388398487,2.778580482,1
A2016\student8964,1085064,192,142,103,604,4489,1858,3969,136,0.002982313,1175,3,5.86407767,2.754042553,0
A2016\student8986,1112440,276,229,147,605,3983,5621,3249,582,0.013295099,4694,175,4.115646259,3.150830848,0
A2016\student8993,3324992,1270,1051,278,581,16894,10900,13187,1236,0.012308601,6149,159,2.089928058,6.655716377,0
A2016\student9029,4364272,1624,1212,209,438,23629,8578,19221,976,0.002225343,2352,247,2.09569378,4.129251701,0
A2016\student9071,5255872,1225,857,520,705,24940,12866,21168,2004,0.004870743,7784,174,1.355769231,3.288797533,1
A2016\student9095,1707864,178,74,60,12,11764,3124,10424,266,0.003138423,1357,120,0.2,3.949889462,0
A2016\student9097,7755456,1653,1360,811,1651,45288,18289,37557,3478,0.003170284,8901,352,2.035758323,2.762273902,1
A2016\student9113,4963480,928,433,614,613,28043,7045,23915,739,0.002423904,2035,160,0.998371336,5.912039312,1
A2016\student9141,2234800,726,598,222,494,9517,3198,7954,532,0.003473241,1569,135,2.225225225,4.947100064,0
A2016\student9160,7174152,1794,1307,804,843,42805,13401,36574,1319,0.00262484,5454,162,1.048507463,3.45269527,1
A2016\student9163,604328,,,,,602,424,,,0.001988986,406,37,,2.960591133,0
A2016\student9175,1371400,263,188,142,202,6830,5754,5746,554,0.014596762,4394,139,1.422535211,4.555757852,0
A2016\student9188,4061872,1905,1659,713,1404,16720,10716,13685,1102,0.004938117,6446,80,1.96914446,3.111697177,1
A2016\student9200,2075120,499,382,245,491,9442,7659,7945,174,0.016737345,5898,156,2.004081633,5.888775856,0
A2016\student9207,13705048,5588,4442,1365,2407,59107,28174,43728,5578,0.006103372,16948,338,1.763369963,4.935508615,0
A2016\student9238,4327952,885,496,930,1225,24859,9143,21717,1501,0.010515135,5216,182,1.317204301,8.724884969,1
A2016\student9272,35736,10,5,1,,132,46,116,1,0.001399149,32,2,,1.5625,0
A2016\student9273,14496,5,2,1,0,28,760,11,325,0.139831678,746,3,0,2.717158177,0
A2016\student9296,7719312,730,543,577,576,44526,13962,34482,1711,0.00176596,4645,98,0.998266898,2.934768568,1
A2016\student9315,1482992,413,364,,,5700,11034,4031,484,0.017056734,8713,251,,2.903133249,0
A2016\student9318,373776,101,90,,,2237,691,1865,201,0.005182248,174,64,,11.13218391,0
A2016\student9325,31680,1128,1116,384,1152,70,2619,1,1,0.207449495,2618,3,3,2.510313216,0
A2016\student9340,11629168,1748,1290,2262,1925,55205,14022,48143,3026,0.004433077,5053,503,0.851016799,10.20245399,0
A2016\student9352,7556552,1193,832,914,1559,41619,11699,35770,2073,0.004025249,5174,760,1.705689278,5.878817163,0
A2016\student9358,7621344,778,425,1238,1617,32546,12331,27044,1508,0.002334759,5512,110,1.306138934,3.228229318,1
A2016\student9359,1720744,287,215,280,469,7880,6865,6376,654,0.008224349,5175,137,1.675,2.73468599,0
A2016\student9385,569008,41,20,90,301,3965,1170,3474,41,0.002643197,556,3,3.344444444,2.705035971,0
A2016\student9388,327984,55,37,,,1202,209,1022,8,0.000686009,75,3,,3,0
A2016\student9391,1375424,183,123,145,361,8834,3089,7686,682,0.004590584,1760,78,2.489655172,3.5875,1
A2016\student9438,509992,112,48,5,0,3180,851,2843,311,0.001994149,396,3,0,2.568181818,0
A2016\student9447,160,,,,,1,1,,,0,,,,,0
A2016\student9451,2381512,488,260,154,403,13291,3857,11587,525,0.003679175,1648,57,2.616883117,5.316747573,1
A2016\student9458,3635888,945,725,419,1041,17247,7679,14821,913,0.003555665,5039,3,2.484486874,2.56558841,0
A2016\student9463,3478232,862,677,468,853,17587,6212,15013,1019,0.002897162,3055,123,1.822649573,3.298527005,0
A2016\student9464,2661520,724,553,295,80,13163,4228,10883,531,0.001292119,1287,64,0.271186441,2.672105672,0
A2016\student9466,1080,,,,,1,8,,,0.096296296,8,34,,13,0
A2016\student9473,3316512,1320,915,1082,684,3501,9969,2130,420,0.006593071,7990,162,0.632162662,2.736670839,1
A2016\student9476,1444776,352,266,149,367,8626,4348,7201,449,0.005683234,2562,65,2.463087248,3.204918033,1
A2016\student9482,2536,,,,,1,8,,,0.003154574,8,1,,1,0
A2016\student9498,5368352,1300,640,613,828,27592,8160,23690,1974,0.003766146,3092,149,1.350734095,6.538809832,1
A2016\student9524,943224,213,176,79,246,4182,2138,3474,202,0.009466468,1390,1399,3.113924051,6.423741007,0
A2016\student9538,2290880,411,218,131,806,13171,8681,10286,1748,0.010322234,5236,176,6.152671756,4.516233766,1
A2016\student9557,64,,,,,134,,,,0,,,,,0
A2016\student9564,24568,9,6,,,50,411,35,114,0.038993813,408,3,,2.348039216,0
A2016\student9569,3293632,488,348,188,278,18242,6925,15485,1051,0.003143642,3417,162,1.478723404,3.030143401,1
A2016\student9589,2962048,571,448,532,1083,12394,9062,10291,401,0.018440619,6042,346,2.035714286,9.040383979,0
A2016\student9601,,,,,,4,,,,,,,,,0
A2016\student9624,0,,,,,1,,,43,,,,,,0
A2016\student9673,9237392,3721,2754,1437,2093,52201,17980,41945,4706,0.004420295,6164,141,1.456506611,6.624269955,0
A2016\student9676,5299096,841,669,545,1156,27920,10352,24143,2118,0.004547191,4979,120,2.121100917,4.839526009,0
A2016\student9758,5069472,1928,1487,587,551,27658,21531,22823,6203,0.00841271,15002,135,0.93867121,2.842820957,0
A2016\student9805,5361160,1296,833,516,1112,25644,9810,22507,912,0.004185102,5534,868,2.15503876,4.054391037,1
A2016\student9821,2385240,163,87,286,389,13212,3493,11745,485,0.007211014,1742,167,1.36013986,9.873708381,1
A2016\student9823,13815856,3884,3181,2552,6745,53509,34577,42700,4478,0.004747371,19958,760,2.643025078,3.286351338,1
A2016\student9864,5964056,1163,731,256,669,33224,8810,29019,1843,0.003295576,4205,120,2.61328125,4.674197384,1
A2016\student9887,8296,,,,,1,,1,,0,,,,,0
A2016\student9897,10285840,2629,2051,1009,2160,63497,18300,53524,3753,0.002052628,4585,120,2.140733399,4.604798255,0
A2016\student9900,60480,1003,969,238,986,77,2630,1,,0.110846561,2629,3,4.142857143,2.550019019,0
A2016\student9923,1649640,287,198,97,180,9943,2172,8883,108,0.001895565,1216,3,1.855670103,2.571546053,1
A2016\student9924,182280,17,16,6,,612,564,382,55,0.013089752,438,56,,5.447488584,0
A2016\student9931,7061616,2260,1725,457,743,32594,16804,28592,3093,0.004864326,11997,182,1.625820569,2.863215804,1
A2016\student9935,9572960,3560,3059,1162,1478,50230,19462,42268,3510,0.003820866,10338,156,1.271944923,3.53811182,0
A2016\student9945,2448,,,,,135,,,,0,,,,,0
A2016\student9946,3091048,602,307,211,384,15116,8436,12541,1459,0.009200763,5034,119,1.819905213,5.649582837,1
A2016\student9949,4095560,805,464,401,1291,26452,7616,22891,2236,0.005940824,3107,184,3.219451372,7.831026714,1
A2016\student9972,110936,18,13,22,66,184,978,125,52,0.024572727,949,31,3,2.872497366,0
A2016\student9998,5061536,1548,1227,630,1189,28835,13728,24356,1093,0.003435321,7205,30,1.887301587,2.41332408,1
A2017\student1009,4868048,1034,509,541,318,23380,9005,19951,879,0.002846315,4496,94,0.58780037,3.081850534,1
A2017\student1013,1826568,18,13,,,276,424,207,102,0.000798766,362,73,,4.03038674,0
A2017\student1016,66240,,,,,1,,,8,0,,,,,0
A2017\student1021,15824024,3094,2212,1056,579,80588,80284,65539,8241,0.015737274,58813,84,0.548295455,4.234216925,0
A2017\student1029,40800,,,,,1,,,631,0,,,,,0
A2017\student1037,3654440,1922,1347,436,237,18180,10562,14442,1079,0.003049715,5320,139,0.543577982,2.094924812,1
A2017\student1047,87368,,,,,1,207,,,0.005848823,207,3,,2.468599034,0
A2017\student1066,15400,4,4,,,81,24,60,22,0,,,,,0
A2017\student1068,7274984,997,731,456,204,40430,23441,30048,8550,0.00396317,9950,158,0.447368421,2.897688442,1
A2017\student1080,5959104,3437,2234,343,235,31591,176812,24013,3107,0.153189473,166821,372,0.685131195,5.472164775,1
A2017\student1093,6923384,1571,1044,377,261,35380,83807,29354,1972,0.052292347,76562,114,0.692307692,4.728716596,1
A2017\student1110,3734304,806,640,450,190,20327,8146,16495,888,0.001589587,2573,67,0.422222222,2.30703459,0
A2017\student1120,10268600,879,505,1147,952,47771,97838,40927,2179,0.039877491,87416,261,0.829991282,4.684336963,1
A2017\student1132,1316192,22,19,25,79,732,1340,595,47,0.002194969,1133,3,3.16,2.549867608,0
A2017\student1146,1341480,1,,,,4,8,,26,7.45E-06,8,2,,1.25,0
A2017\student1165,64,,,,,1,,,6,0,,,,,0
A2017\student1173,64808,,,,,1,8,,,0.001157265,8,34,,9.375,0
A2017\student1180,2475360,9,8,3,,277,109,247,33,5.25E-05,70,2,,1.857142857,0
A2017\student1193,5032880,992,634,288,321,26906,8375,23424,906,0.002947616,3537,155,1.114583333,4.1942324,0
A2017\student1202,66720,,,,,1,10,,,0.000194844,10,2,,1.3,0
A2017\student1213,6634736,1100,826,409,283,40533,12389,34552,1169,0.001428693,3991,128,0.69193154,2.375093961,1
A2017\student1253,11090216,2117,1465,484,175,62143,23431,51836,3120,0.001798162,8929,111,0.361570248,2.233396797,0
A2017\student1266,5616360,1061,778,604,414,30946,7865,27266,1220,0.003155959,3041,119,0.685430464,5.828674778,0
A2017\student1268,1889272,546,152,131,,11414,3237,9794,1012,0.002422626,1667,72,,2.74565087,0
A2017\student1269,454272,125,20,19,41,1567,648,1266,141,0.009296193,338,119,2.157894737,12.49408284,0
A2017\student1278,2048,,,,,13,121,1,6,1.735839844,121,130,,29.38016529,0
A2017\student1297,6516776,768,463,826,406,32039,17806,25685,3317,0.003236877,8951,85,0.491525424,2.3566082,1
A2017\student1302,588960,6,3,4,,7,15,3,,2.21E-05,10,2,,1.3,0
A2017\student1303,15360,,,,,1,,,8,0,,,,,0
A2017\student1313,3284224,320,241,12,,9495,18492,7987,380,0.015262662,16350,61,,3.065810398,0
A2017\student1317,2688136,10,5,,,138,82,118,45,4.61E-05,62,2,,2,0
A2017\student1324,98072,87,81,27,,107,466,60,2,0.045242271,398,196,,11.14824121,0
A2017\student1329,144264,,,,,169,271,70,1,0.003729274,223,3,,2.412556054,0
A2017\student1336,66240,,,,,141,,,,0,,,,,0
A2017\student1352,7198576,1981,1363,959,252,36766,144158,31647,1112,0.097360922,137589,178,0.262773723,5.093866515,1
A2017\student1364,4452888,2,2,,,32,,,28,0,,,,,0
A2017\student1366,6423848,802,562,399,377,30606,11476,25577,1104,0.001630954,4767,57,0.944862155,2.197818334,1
A2017\student1372,3019528,1024,777,203,46,19103,46450,15955,1693,0.063019452,42123,144,0.226600985,4.51746077,1
A2017\student1383,9293160,2379,1188,1074,533,47423,18609,39343,3325,0.002353021,8805,178,0.496275605,2.483475298,0
A2017\student1410,7807168,1383,996,399,357,29576,11132,25869,1787,0.002004056,6465,60,0.894736842,2.420108275,1
A2017\student1412,4780424,1219,753,261,233,21991,8011,18358,1061,0.001907781,3185,271,0.892720307,2.863422292,1
A2017\student1415,10169680,2336,1532,909,409,59443,24976,49752,3707,0.002676584,12485,92,0.449944994,2.18021626,0
A2017\student1424,60000,,,,,1,1,,,0,,,,,0
A2017\student1440,4619064,582,309,690,294,30138,9416,26386,1502,0.003890182,4161,120,0.426086957,4.318433069,1
A2017\student1446,39840,,,,,94,,,,0,,,,,0
A2017\student1452,35520,,,,,1,101,,,0.039076577,101,48,,13.74257426,0
A2017\student1453,0,,,,,1,,,25,,,,,,0
A2017\student1463,131520,,,,,69,6,4,6,0,,,,,0
A2017\student1464,6732456,1244,587,482,275,33287,9316,28802,2070,0.001922775,3581,162,0.570539419,3.614912036,1
A2017\student1465,2031552,18,17,,,189,75,149,4,1.72E-05,26,2,,1.346153846,0
A2017\student1466,3768,2,,,,29,5,24,21,0,,,,,0
A2017\student1468,2704,6,5,,,23,23,14,,0.00443787,11,2,,1.090909091,0
A2017\student1482,4489464,915,569,485,354,26633,8510,23063,2748,0.008897721,4193,343,0.729896907,9.526830432,0
A2017\student1483,397912,63,23,49,70,1896,399,1617,268,0.000266391,55,2,1.428571429,1.927272727,0
A2017\student1502,5760,,,,,10,,,,0,,,,,0
A2017\student1517,4680648,1249,889,598,375,25488,32326,21246,1309,0.021613888,26643,99,0.627090301,3.797132455,1
A2017\student1518,47872,15,11,,,180,101,143,35,0.001775568,59,2,,1.440677966,0
A2017\student1542,4320,,,,,2,,,,0,,,,,0
A2017\student1547,38744,23,23,,,134,96,87,27,0.000464588,12,2,,1.5,0
A2017\student1548,744,1,1,,,61,,,,0,,,,,0
A2017\student1551,6243896,1753,1230,564,322,32686,51911,27398,2263,0.032006138,44526,120,0.570921986,4.488231595,1
A2017\student1565,3195000,527,259,198,82,18027,3562,16078,944,0.000910798,1326,37,0.414141414,2.194570136,1
A2017\student1579,66240,,,,,5,,,,0,,,,,0
A2017\student1581,1876712,4,2,,,33,15,28,27,1.12E-05,12,2,,1.75,0
A2017\student1582,4151032,685,325,367,233,22030,9478,18231,2470,0.004067904,4934,171,0.634877384,3.422375355,1
