student_assignment,total_time,compiled,compiled_successfully,ran_tests,test_results,modified,add_lines,change,remove_lines,average_test_results
A2016\student5659,4977864,1199,883,380,428,25777,9566,22473,673,1.126315789
A2016\student5660,4965528,1798,1527,491,1582,22249,18143,16819,5675,3.221995927
A2016\student5667,337392,41,32,7,29,1809,1162,1462,333,4.142857143
A2016\student5673,342728,43,27,45,305,2135,518,1863,108,6.777777778
A2016\student5695,2428400,674,518,34,32,13703,3334,11951,439,0.941176471
A2016\student5713,3066088,556,427,684,1922,11711,7539,9710,653,2.80994152
A2016\student5741,6441112,1508,1203,410,776,34315,11367,28848,1661,1.892682927
A2016\student5744,6209016,1801,1480,731,1577,36634,16149,30202,2013,2.157318741
A2016\student5770,40,,,,,2,,,,
A2016\student5771,,,,,,1,,,21,
A2016\student5774,427480,123,101,40,0,2241,1593,1564,85,0
A2016\student5789,1469464,423,301,45,149,7633,1783,6565,416,3.311111111
A2016\student5804,3518968,408,278,351,477,16995,15907,14468,1502,1.358974359
A2016\student5805,6897832,1967,1577,360,591,35437,9328,29583,1718,1.641666667
A2016\student5829,5536360,844,557,442,616,24528,9637,21348,1124,1.393665158
A2016\student5830,4908088,967,490,846,1318,24848,10244,21475,940,1.557919622
A2016\student5834,47608,22,16,7,,202,150,157,62,
A2016\student5842,1800,,,1,,10,,,,
A2016\student5860,6644520,2228,1657,624,2110,32833,21933,27565,4153,3.381410256
A2016\student5863,0,,,,,1,1560,,,
A2016\student5867,5845384,1455,1119,1036,1870,32701,12524,27185,1437,1.805019305
A2016\student5881,32024,,,,,93,23,79,2,
A2016\student5882,8664,,,,,226,,,,
A2016\student5897,84288,1134,1115,232,368,320,3239,220,12,1.586206897
A2016\student5899,6430936,1581,990,1129,1482,35958,18469,29841,2529,1.312666076
A2016\student5904,111184,10,4,28,106,404,623,320,7,3.785714286
A2016\student5915,2638376,357,284,247,606,8780,4112,6989,617,2.453441296
A2016\student5939,6001568,980,663,794,786,29583,9774,25160,1991,0.989924433
A2016\student5952,6768,,,,,15,,,,
A2016\student5957,9893656,3670,2902,990,1212,39601,9267,35080,954,1.224242424
A2016\student5961,7647968,1459,1102,711,1603,40398,18158,35193,2134,2.254571027
A2016\student6001,1743624,240,161,126,346,11364,2114,9728,202,2.746031746
A2016\student6007,23984,10,8,4,,44,167,28,58,
A2016\student6008,2195584,310,240,320,893,10411,3615,9062,156,2.790625
A2016\student6010,13999080,4467,3420,1097,981,79112,23665,67454,3285,0.894257065
A2016\student6018,77592,18,10,13,78,441,306,369,3,6
A2016\student6029,5490256,1046,598,542,884,28251,11732,23360,1623,1.63099631
A2016\student6040,3976,,,1,,3,151,,69,
A2016\student6042,,,,,,,,,,
A2016\student6049,7760,,,,,5,268,2,,
A2016\student6053,1201752,211,134,105,362,7593,1540,6787,356,3.447619048
A2016\student6054,2726640,273,160,224,229,15734,4108,13936,607,1.022321429
A2016\student6080,307248,26,17,17,5,1679,247,1482,15,0.294117647
A2016\student6109,3294048,819,677,557,1171,18419,6803,15832,784,2.102333932
A2016\student6121,,,,,,1,,,18,
A2016\student6122,2568376,431,270,282,69,16140,4174,13649,586,0.244680851
A2016\student6151,9754848,1912,1406,1053,693,46782,17913,39510,3677,0.658119658
A2016\student6227,4030400,964,604,495,803,20146,8089,17714,564,1.622222222
A2016\student6248,5491496,1771,1492,626,976,27774,9902,23466,1255,1.559105431
A2016\student6255,4979376,1120,759,468,986,27058,12823,23524,1857,2.106837607
A2016\student6259,9450936,3473,2696,786,653,55022,19915,46323,2178,0.830788804
A2016\student6267,8688,,,,,146,,,,
A2016\student6281,483120,99,88,124,443,1451,3789,1070,618,3.572580645
A2016\student6303,3955280,706,524,442,903,23998,11528,20575,2072,2.042986425
A2016\student6321,34560,1089,1067,495,473,70,2892,1,,0.955555556
A2016\student6332,2510696,109,42,287,51,15831,3262,13677,391,0.177700348
A2016\student6353,27480,693,671,88,66,34,2133,2,,0.75
A2016\student6357,1797608,204,128,524,2273,9484,2726,8613,817,4.33778626
A2016\student6363,96,,,,,134,,,,
A2016\student6364,7433392,1564,1013,1032,1170,33461,15243,27765,1714,1.13372093
A2016\student6369,2720752,1019,794,54,91,19485,6337,16152,1330,1.685185185
A2016\student6403,8501960,1032,711,714,842,32864,14282,27208,1818,1.179271709
A2016\student6410,2857336,997,848,545,1004,14930,11330,12618,2840,1.842201835
A2016\student6419,6771968,1258,953,886,2737,31250,12234,27179,2460,3.089164786
A2016\student6462,5606136,1353,1109,424,934,33165,11054,29135,912,2.202830189
A2016\student6468,1871960,572,466,44,113,13316,5066,11385,889,2.568181818
A2016\student6484,8971480,1373,953,423,362,42902,14402,36987,2545,0.855791962
A2016\student6497,10098736,1353,990,1066,1299,51736,28364,42364,6099,1.218574109
A2016\student6507,8450808,1626,1323,822,1734,41974,15135,36019,1461,2.109489051
A2016\student6516,6458752,1856,1172,496,558,30407,13073,25447,2346,1.125
A2016\student6534,2197080,296,104,68,136,12953,3930,11305,684,2
A2016\student6545,673840,89,60,24,141,3248,1244,2794,53,5.875
A2016\student6547,4121576,2395,2018,503,888,24290,11729,20213,1300,1.765407555
A2016\student6548,566024,49,10,17,73,4527,910,3824,145,4.294117647
A2016\student6550,7317016,1263,942,488,1093,36905,14899,31876,2864,2.239754098
A2016\student6571,11325296,3534,2900,977,1463,63310,23075,54839,3508,1.497441146
A2016\student6594,11535272,4816,3313,766,608,73838,42841,59754,9480,0.793733681
A2016\student6604,36960,,,,,1,1,,,
A2016\student6609,51600,,,,,370,7,10,,
A2016\student6613,10812600,2273,1728,1240,2101,56162,18549,49306,2985,1.694354839
A2016\student6617,2917736,664,336,280,396,21107,4748,18817,851,1.414285714
A2016\student6631,6468840,1274,839,1019,2562,29360,11174,24719,1636,2.514229637
A2016\student6634,1729960,222,108,157,346,11485,2494,10269,467,2.203821656
A2016\student6656,3736776,1647,1297,305,540,14355,5372,12004,768,1.770491803
A2016\student6705,2895232,611,428,461,637,20598,10420,17725,876,1.381778742
A2016\student6706,5102624,1616,1299,309,566,28143,11225,24283,945,1.83171521
A2016\student6707,2923669,521,338,300,710,16268,7162,13475,2251,2.366666667
A2016\student6711,37440,,,,,1,58,,,
A2016\student6720,348624,639,611,186,157,1508,2876,1226,107,0.844086022
A2016\student6723,888392,225,105,28,,5209,2090,4420,484,
A2016\student6728,4343416,1052,782,138,782,23130,11320,16559,2662,5.666666667
A2016\student6743,2588536,552,474,137,336,13409,3376,11952,724,2.452554745
A2016\student6776,6319056,2114,1544,464,519,38502,10411,26914,1175,1.118534483
A2016\student6781,0,,,,,136,,,,
A2016\student6787,337448,74,50,16,79,2015,1526,1706,133,4.9375
A2016\student6790,1813760,408,315,130,157,10629,3126,9355,391,1.207692308
A2016\student6815,210216,108,95,18,40,1178,637,977,60,2.222222222
A2016\student6822,6688,4,,,,15,,,130,
A2016\student6824,578600,117,91,59,50,3734,1682,3192,104,0.847457627
A2016\student6854,5243120,1067,832,603,918,37450,11748,32579,716,1.52238806
A2016\student6874,8688,,,,,15,,,,
A2016\student6877,6238240,1596,1186,716,697,39841,11687,34711,1220,0.973463687
A2016\student6882,2167800,266,188,317,579,9720,7323,8045,459,1.826498423
A2016\student6889,24,,,,,132,,,,
A2016\student6913,372960,,,,,1,47,,,
A2016\student6924,57600,,,,,1,8,,,
A2016\student6953,261072,120,106,,,1356,207,1230,44,
A2016\student6956,3792886,465,336,494,830,24885,9025,21085,388,1.680161943
A2016\student6960,9236536,1874,1328,890,1010,64227,30128,51139,9708,1.134831461
A2016\student6973,3095664,765,640,362,832,16070,5945,14063,309,2.298342541
A2016\student6978,37440,,,,,1,6,,,
A2016\student6992,8028088,1476,988,949,1166,37594,11394,32716,698,1.228661749
A2016\student6995,1871432,526,413,136,269,10541,2750,9575,198,1.977941176
A2016\student6999,6090288,1223,969,789,1323,31184,10708,27068,1217,1.676806084
A2016\student7001,10649800,2122,1457,652,507,70046,16308,60331,4061,0.777607362
A2016\student7013,48,,,,,9,,,,
A2016\student7067,245672,85,81,32,,918,528,848,357,
A2016\student7080,19176704,8538,7322,1078,1143,97137,37819,27437,6032,1.060296846
A2016\student7085,10276096,2389,1547,751,907,48265,17121,42877,3908,1.207723036
A2016\student7090,940736,38,22,32,114,3815,1716,3255,61,3.5625
A2016\student7119,9649272,2728,1791,1361,1163,52743,27109,42267,5734,0.854518736
A2016\student7123,17568,3,1,,,211,25,167,3,
A2016\student7125,11616,,,,,17,229,,,
A2016\student7135,37440,,,,,1,8,,,
A2016\student7153,27296,11,4,,,152,82,129,3,
A2016\student7165,1956640,553,386,162,36,12298,5366,10595,655,0.222222222
A2016\student7173,5274496,1849,1467,297,596,25890,9068,22077,1162,2.006734007
A2016\student7180,1970056,515,400,245,436,14265,7390,12064,437,1.779591837
A2016\student7193,5153960,1384,1077,836,1688,24527,9024,21337,2087,2.019138756
A2016\student7197,19824,18,14,,,169,29,138,3,
A2016\student7232,1968,,,,,2,2,,,
A2016\student7249,6032448,1391,988,800,1175,31397,11227,26925,1573,1.46875
A2016\student7255,2586304,245,116,312,493,14207,4021,12514,531,1.580128205
A2016\student7258,5216160,1303,991,376,946,30446,7933,26937,751,2.515957447
A2016\student7293,4548944,551,240,643,1285,22601,9682,18760,1492,1.99844479
A2016\student7298,5253104,1196,1004,1031,1542,27566,9596,24438,665,1.495635306
A2016\student7320,5254288,2895,2658,820,1434,25724,21611,18642,1889,1.748780488
A2016\student7331,405824,153,125,63,308,1650,1124,1462,496,4.888888889
A2016\student7335,37440,,,,,1,,,6,
A2016\student7341,9776608,2300,1456,900,1265,53965,16458,46432,4072,1.405555556
A2016\student7346,3492296,1141,880,464,1754,18231,9433,15881,2317,3.780172414
A2016\student7368,12172376,3059,2313,547,866,61975,17732,53635,3553,1.583180987
A2016\student7386,956128,221,131,101,526,5429,5570,4381,1582,5.207920792
A2016\student7392,5690080,1567,1381,671,2548,31723,18985,25621,2091,3.797317437
A2016\student7421,1437592,257,180,202,617,8386,2702,6907,296,3.054455446
A2016\student7425,,,,,,35,,,,
A2016\student7429,1179968,199,126,131,10,6575,2578,5782,746,0.076335878
A2016\student7438,160,,,,,1,,1,,
A2016\student7443,1402688,167,50,173,177,9947,2090,8830,369,1.023121387
A2016\student7457,5673904,1161,931,670,1199,29273,10624,24548,1226,1.789552239
A2016\student7485,4802800,867,509,215,577,28443,8237,24667,2877,2.68372093
A2016\student7492,222288,48,15,3,,1317,165,1232,78,
A2016\student7495,2319664,220,43,95,0,16442,3719,14421,698,0
A2016\student7496,393048,82,19,3,9,2110,891,1735,107,3
A2016\student7507,5410656,1123,849,540,559,30636,8472,25729,645,1.035185185
A2016\student7525,42720,,,16,0,27,1056,1,,0
A2016\student7540,4316424,807,560,441,732,18893,7810,16309,1447,1.659863946
A2016\student7589,316968,153,139,3,0,1835,357,1587,37,0
A2016\student7597,8312,1,,,,30,683,20,144,
A2016\student7616,8109224,2640,1961,571,1520,55130,16901,44314,3131,2.661996497
A2016\student7643,0,,,,,15,,,,
A2016\student7655,1703480,358,248,223,366,8630,5176,6780,373,1.641255605
A2016\student7665,10135128,2185,1635,1283,1484,52950,18820,35696,2316,1.156664069
A2016\student7671,8229784,2307,1700,946,1423,54643,17821,46777,4935,1.50422833
A2016\student7673,481760,28,11,57,232,1470,1003,1123,81,4.070175439
A2016\student7677,624,,,,,1,16,,,
A2016\student7678,14235456,1942,1438,1175,1090,64175,23694,54313,6595,0.927659574
A2016\student7697,736656,163,127,99,373,3110,1616,2533,227,3.767676768
A2016\student7704,1952496,190,82,231,241,14592,2771,12839,287,1.043290043
A2016\student7713,4732696,831,667,426,639,29560,11624,25062,669,1.5
A2016\student7735,33600,1581,1564,204,374,76,2476,1,,1.833333333
A2016\student7755,13543984,5858,4744,1192,2139,80984,33587,64685,7055,1.794463087
A2016\student7771,10704,6,6,,,31,60,12,,
A2016\student7773,3860400,938,689,606,1037,18717,10022,15929,1072,1.711221122
A2016\student7774,7864880,1369,886,763,1432,43404,16110,36339,3287,1.876802097
A2016\student7791,152672,22,16,15,65,529,770,345,83,4.333333333
A2016\student7799,6216296,1679,1188,925,837,32501,12898,26288,2605,0.904864865
A2016\student7802,9124408,2343,1654,981,1572,42622,15740,36614,2147,1.602446483
A2016\student7810,5910168,1634,1256,589,1160,29384,11940,25704,987,1.969439728
A2016\student7820,3983976,929,711,100,249,23322,15509,18333,3206,2.49
A2016\student7823,1194856,580,517,53,3,5713,1542,5127,117,0.056603774
A2016\student7830,64696,18,14,5,6,147,534,80,147,1.2
A2016\student7834,0,,,,,69,,,,
A2016\student7857,726528,11,7,,,431,628,54,1,
A2016\student7868,656728,,,,,343,142,,143,
A2016\student7888,8335888,1564,958,1051,862,31921,18850,26057,3293,0.820171265
A2016\student7891,8177168,2859,2220,751,1090,44470,19325,37245,2724,1.451398136
A2016\student7911,3994744,856,556,762,897,21339,8961,18395,1215,1.177165354
A2016\student7948,4068328,1033,769,290,788,23202,6226,20081,1000,2.717241379
A2016\student7956,888200,88,58,71,277,3757,2339,3167,152,3.901408451
A2016\student7970,3456816,760,629,374,665,21751,3842,19785,267,1.778074866
A2016\student7977,37920,,,,,1,,,8,
A2016\student7980,5165288,1480,777,694,933,27613,9213,23728,1253,1.344380403
A2016\student7985,7738856,1522,1032,543,503,39140,14519,33361,2909,0.926335175
A2016\student8004,20744,23,21,,,111,116,90,6,
A2016\student8006,7772936,1901,1513,881,1000,40948,18352,33130,2222,1.13507378
A2016\student8025,36960,,,,,1,10,,,
A2016\student8029,3280056,857,632,351,1434,15533,6184,13692,546,4.085470085
A2016\student8035,1685656,260,174,45,196,15033,3602,12220,343,4.355555556
A2016\student8043,7599176,2155,1345,540,691,39356,12791,33559,2061,1.27962963
A2016\student8051,5737984,1075,782,511,1115,34214,15146,28302,1454,2.181996086
A2016\student8055,167944,27,25,16,38,1038,235,888,52,2.375
A2016\student8067,5121448,1920,1124,546,1097,26952,8597,24025,1370,2.009157509
A2016\student8069,1028352,116,81,118,531,4582,1577,4156,69,4.5
A2016\student8085,9558128,1809,1466,640,615,63345,12323,56859,1123,0.9609375
A2016\student8089,2948448,808,491,368,442,17306,8504,14855,1673,1.201086957
A2016\student8100,1479408,216,155,204,655,6498,2620,5551,195,3.210784314
A2016\student8110,6579168,1118,789,609,1269,39207,18027,31658,4954,2.083743842
A2016\student8118,10124376,2584,1649,1478,2035,44307,14915,36680,2449,1.376860622
A2016\student8119,275088,,,,,232,,1,,
A2016\student8124,413976,21,18,92,212,2501,2344,2083,357,2.304347826
A2016\student8133,1876080,334,219,174,302,11498,3355,9935,552,1.735632184
A2016\student8139,2975688,691,577,365,848,14886,7108,12861,590,2.323287671
A2016\student8152,3151896,831,560,412,540,15729,7354,13265,430,1.310679612
A2016\student8157,3122872,838,544,272,426,17479,4895,15309,360,1.566176471
A2016\student8187,2094344,211,83,368,541,11191,6689,9222,997,1.470108696
A2016\student8189,48,,,,,16,,,,
A2016\student8192,2926080,534,387,589,952,15298,4761,13267,307,1.616298812
A2016\student8195,3857760,1007,512,344,345,21617,5355,18916,904,1.002906977
A2016\student8199,5199304,1381,1068,570,822,24031,13341,19777,2704,1.442105263
A2016\student8209,48,,,,,11,,,,
A2016\student8224,8805992,1273,842,712,636,52288,16186,45640,1500,0.893258427
A2016\student8264,4002072,493,263,726,515,17637,4271,15511,836,0.709366391
A2016\student8288,3051024,404,259,385,520,21558,7829,18240,868,1.350649351
A2016\student8295,4798280,1125,726,508,401,24919,8930,21752,1748,0.789370079
A2016\student8308,176,1,1,,,2,30,,,
A2016\student8317,4279120,968,579,453,874,20069,6960,16853,1847,1.929359823
A2016\student8319,772536,72,37,51,148,4595,1341,3969,273,2.901960784
A2016\student8329,5973344,1320,907,874,672,32331,13105,27093,2305,0.768878719
A2016\student8337,15881440,3340,2742,732,1423,89926,21757,79339,3235,1.943989071
A2016\student8349,48,,,,,9,,,,
A2016\student8357,9486976,2457,1955,943,1166,46301,13324,40782,2910,1.236479321
A2016\student8363,7219040,2036,1648,510,1295,45019,14313,38709,3076,2.539215686
A2016\student8367,1638056,279,217,74,154,10052,1374,9052,301,2.081081081
A2016\student8370,33120,4064,4000,512,304,53,2617,1,,0.59375
A2016\student8387,72,,,,,10,,,,
A2016\student8389,1056,,,,,139,,,,
A2016\student8393,6288,,,,,4,299,,83,
A2016\student8419,1308960,296,152,101,183,8541,1824,7353,680,1.811881188
A2016\student8430,5399312,1362,915,1258,3236,20138,12153,16817,728,2.572337043
A2016\student8444,796608,648,627,218,571,2542,3446,1902,288,2.619266055
A2016\student8480,6804760,1163,713,1042,2150,34526,15679,28436,2717,2.063339731
A2016\student8497,3182480,425,340,217,557,15444,3029,13834,144,2.566820276
A2016\student8518,12729656,2983,2078,757,1321,66092,26805,56546,5269,1.745046235
A2016\student8520,1800744,294,207,242,947,9907,3774,8272,428,3.91322314
A2016\student8524,168,,,1,,7,,,,
A2016\student8532,135096,12,9,62,,382,1173,286,510,
A2016\student8540,4986624,833,514,755,1036,23654,8812,20823,1249,1.37218543
A2016\student8552,7451920,1228,1083,465,1143,33649,9978,29227,1011,2.458064516
A2016\student8560,5349072,599,369,746,684,34053,6898,29906,3228,0.91689008
A2016\student8561,2767304,383,211,348,394,15608,5549,13554,779,1.132183908
A2016\student8576,10265848,4190,3170,1255,1073,52065,26700,42665,5175,0.85498008
A2016\student8580,296136,65,54,8,,1296,662,897,54,
A2016\student8593,5480,3,,,,144,7,52,,
A2016\student8598,3182240,735,496,362,562,14612,7426,12096,2275,1.552486188
A2016\student8599,9669720,2156,1550,900,1806,39430,13715,33808,2007,2.006666667
A2016\student8626,1675888,408,234,72,0,9978,1431,9156,608,0
A2016\student8631,57,,,,,3,2,1,390,
A2016\student8638,48,,,,,1,2,,,
A2016\student8665,8746480,1629,1065,915,1368,48427,15326,41736,3771,1.495081967
A2016\student8670,2845832,517,262,724,1336,16687,10738,14076,2376,1.845303867
A2016\student8724,2836856,419,235,547,925,15273,7490,12878,2420,1.691042048
A2016\student8730,16272,4,4,,,13,54,12,,
A2016\student8733,26472,1,1,10,0,22,749,,,0
A2016\student8747,9524904,1962,1638,422,1047,70324,19476,60422,4847,2.481042654
A2016\student8753,627944,188,101,35,135,4046,599,3512,71,3.857142857
A2016\student8755,4021224,1348,1079,427,1728,15628,7123,12287,1812,4.046838407
A2016\student8774,5948424,590,334,643,526,33692,10362,29251,2426,0.818040435
A2016\student8776,7916120,2256,1648,420,1608,39312,14058,33600,2143,3.828571429
A2016\student8780,12831880,3978,2945,851,1089,57707,28568,47860,4611,1.279670975
A2016\student8794,2157336,514,400,228,251,13256,3252,11066,385,1.100877193
A2016\student8796,2329744,462,213,149,272,13794,4744,12268,1394,1.825503356
A2016\student8797,9959768,2597,2021,957,1895,52139,14103,45438,1697,1.98014629
A2016\student8819,3444744,814,614,257,577,18852,5210,16425,359,2.245136187
A2016\student8846,498248,56,33,152,588,1612,3481,1212,333,3.868421053
A2016\student8854,11686392,1636,1198,1417,2124,57489,35700,46943,5496,1.498941426
A2016\student8860,,,,,,29,,,,
A2016\student8863,2315648,556,437,141,479,13012,3468,11332,403,3.397163121
A2016\student8864,4914192,1684,1294,546,1041,25155,10327,20706,1809,1.906593407
A2016\student8886,12813616,3093,2322,677,774,64938,21285,54249,5052,1.143279173
A2016\student8892,5338384,701,352,964,638,34472,8888,29852,2103,0.661825726
A2016\student8909,5790704,843,606,608,817,39150,11782,29562,1502,1.34375
A2016\student8923,67134,52,44,6,6,247,322,173,71,1
A2016\student8957,4319064,526,308,793,1101,21191,11507,18136,863,1.388398487
A2016\student8964,1085064,192,142,103,604,4489,1858,3969,136,5.86407767
A2016\student8986,1112440,276,229,147,605,3983,5621,3249,582,4.115646259
A2016\student8993,3324992,1270,1051,278,581,16894,10900,13187,1236,2.089928058
A2016\student9029,4364272,1624,1212,209,438,23629,8578,19221,976,2.09569378
A2016\student9071,5255872,1225,857,520,705,24940,12866,21168,2004,1.355769231
A2016\student9095,1707864,178,74,60,12,11764,3124,10424,266,0.2
A2016\student9097,7755456,1653,1360,811,1651,45288,18289,37557,3478,2.035758323
A2016\student9113,4963480,928,433,614,613,28043,7045,23915,739,0.998371336
A2016\student9141,2234800,726,598,222,494,9517,3198,7954,532,2.225225225
A2016\student9160,7174152,1794,1307,804,843,42805,13401,36574,1319,1.048507463
A2016\student9163,604328,,,,,602,424,,,
A2016\student9175,1371400,263,188,142,202,6830,5754,5746,554,1.422535211
A2016\student9188,4061872,1905,1659,713,1404,16720,10716,13685,1102,1.96914446
A2016\student9200,2075120,499,382,245,491,9442,7659,7945,174,2.004081633
A2016\student9207,13705048,5588,4442,1365,2407,59107,28174,43728,5578,1.763369963
A2016\student9238,4327952,885,496,930,1225,24859,9143,21717,1501,1.317204301
A2016\student9272,35736,10,5,1,,132,46,116,1,
A2016\student9273,14496,5,2,1,0,28,760,11,325,0
A2016\student9296,7719312,730,543,577,576,44526,13962,34482,1711,0.998266898
A2016\student9315,1482992,413,364,,,5700,11034,4031,484,
A2016\student9318,373776,101,90,,,2237,691,1865,201,
A2016\student9325,31680,1128,1116,384,1152,70,2619,1,1,3
A2016\student9340,11629168,1748,1290,2262,1925,55205,14022,48143,3026,0.851016799
A2016\student9352,7556552,1193,832,914,1559,41619,11699,35770,2073,1.705689278
A2016\student9358,7621344,778,425,1238,1617,32546,12331,27044,1508,1.306138934
A2016\student9359,1720744,287,215,280,469,7880,6865,6376,654,1.675
A2016\student9385,569008,41,20,90,301,3965,1170,3474,41,3.344444444
A2016\student9388,327984,55,37,,,1202,209,1022,8,
A2016\student9391,1375424,183,123,145,361,8834,3089,7686,682,2.489655172
A2016\student9438,509992,112,48,5,0,3180,851,2843,311,0
A2016\student9447,160,,,,,1,1,,,
A2016\student9451,2381512,488,260,154,403,13291,3857,11587,525,2.616883117
A2016\student9458,3635888,945,725,419,1041,17247,7679,14821,913,2.484486874
A2016\student9463,3478232,862,677,468,853,17587,6212,15013,1019,1.822649573
A2016\student9464,2661520,724,553,295,80,13163,4228,10883,531,0.271186441
A2016\student9466,1080,,,,,1,8,,,
A2016\student9473,3316512,1320,915,1082,684,3501,9969,2130,420,0.632162662
A2016\student9476,1444776,352,266,149,367,8626,4348,7201,449,2.463087248
A2016\student9482,2536,,,,,1,8,,,
A2016\student9498,5368352,1300,640,613,828,27592,8160,23690,1974,1.350734095
A2016\student9524,943224,213,176,79,246,4182,2138,3474,202,3.113924051
A2016\student9538,2290880,411,218,131,806,13171,8681,10286,1748,6.152671756
A2016\student9557,64,,,,,134,,,,
A2016\student9564,24568,9,6,,,50,411,35,114,
A2016\student9569,3293632,488,348,188,278,18242,6925,15485,1051,1.478723404
A2016\student9589,2962048,571,448,532,1083,12394,9062,10291,401,2.035714286
A2016\student9601,,,,,,4,,,,
A2016\student9624,0,,,,,1,,,43,
A2016\student9673,9237392,3721,2754,1437,2093,52201,17980,41945,4706,1.456506611
A2016\student9676,5299096,841,669,545,1156,27920,10352,24143,2118,2.121100917
A2016\student9758,5069472,1928,1487,587,551,27658,21531,22823,6203,0.93867121
A2016\student9805,5361160,1296,833,516,1112,25644,9810,22507,912,2.15503876
A2016\student9821,2385240,163,87,286,389,13212,3493,11745,485,1.36013986
A2016\student9823,13815856,3884,3181,2552,6745,53509,34577,42700,4478,2.643025078
A2016\student9864,5964056,1163,731,256,669,33224,8810,29019,1843,2.61328125
A2016\student9887,8296,,,,,1,,1,,
A2016\student9897,10285840,2629,2051,1009,2160,63497,18300,53524,3753,2.140733399
A2016\student9900,60480,1003,969,238,986,77,2630,1,,4.142857143
A2016\student9923,1649640,287,198,97,180,9943,2172,8883,108,1.855670103
A2016\student9924,182280,17,16,6,,612,564,382,55,
A2016\student9931,7061616,2260,1725,457,743,32594,16804,28592,3093,1.625820569
A2016\student9935,9572960,3560,3059,1162,1478,50230,19462,42268,3510,1.271944923
A2016\student9945,2448,,,,,135,,,,
A2016\student9946,3091048,602,307,211,384,15116,8436,12541,1459,1.819905213
A2016\student9949,4095560,805,464,401,1291,26452,7616,22891,2236,3.219451372
A2016\student9972,110936,18,13,22,66,184,978,125,52,3
A2016\student9998,5061536,1548,1227,630,1189,28835,13728,24356,1093,1.887301587
A2017\student1009,4868048,1034,509,541,318,23380,9005,19951,879,0.58780037
A2017\student1013,1826568,18,13,,,276,424,207,102,
A2017\student1016,66240,,,,,1,,,8,
A2017\student1021,15824024,3094,2212,1056,579,80588,80284,65539,8241,0.548295455
A2017\student1029,40800,,,,,1,,,631,
A2017\student1037,3654440,1922,1347,436,237,18180,10562,14442,1079,0.543577982
A2017\student1047,87368,,,,,1,207,,,
A2017\student1066,15400,4,4,,,81,24,60,22,
A2017\student1068,7274984,997,731,456,204,40430,23441,30048,8550,0.447368421
A2017\student1080,5959104,3437,2234,343,235,31591,176812,24013,3107,0.685131195
A2017\student1093,6923384,1571,1044,377,261,35380,83807,29354,1972,0.692307692
A2017\student1110,3734304,806,640,450,190,20327,8146,16495,888,0.422222222
A2017\student1120,10268600,879,505,1147,952,47771,97838,40927,2179,0.829991282
A2017\student1132,1316192,22,19,25,79,732,1340,595,47,3.16
A2017\student1146,1341480,1,,,,4,8,,26,
A2017\student1165,64,,,,,1,,,6,
A2017\student1173,64808,,,,,1,8,,,
A2017\student1180,2475360,9,8,3,,277,109,247,33,
A2017\student1193,5032880,992,634,288,321,26906,8375,23424,906,1.114583333
A2017\student1202,66720,,,,,1,10,,,
A2017\student1213,6634736,1100,826,409,283,40533,12389,34552,1169,0.69193154
A2017\student1253,11090216,2117,1465,484,175,62143,23431,51836,3120,0.361570248
A2017\student1266,5616360,1061,778,604,414,30946,7865,27266,1220,0.685430464
A2017\student1268,1889272,546,152,131,,11414,3237,9794,1012,
A2017\student1269,454272,125,20,19,41,1567,648,1266,141,2.157894737
A2017\student1278,2048,,,,,13,121,1,6,
A2017\student1297,6516776,768,463,826,406,32039,17806,25685,3317,0.491525424
A2017\student1302,588960,6,3,4,,7,15,3,,
A2017\student1303,15360,,,,,1,,,8,
A2017\student1313,3284224,320,241,12,,9495,18492,7987,380,
A2017\student1317,2688136,10,5,,,138,82,118,45,
A2017\student1324,98072,87,81,27,,107,466,60,2,
A2017\student1329,144264,,,,,169,271,70,1,
A2017\student1336,66240,,,,,141,,,,
A2017\student1352,7198576,1981,1363,959,252,36766,144158,31647,1112,0.262773723
A2017\student1364,4452888,2,2,,,32,,,28,
A2017\student1366,6423848,802,562,399,377,30606,11476,25577,1104,0.944862155
A2017\student1372,3019528,1024,777,203,46,19103,46450,15955,1693,0.226600985
A2017\student1383,9293160,2379,1188,1074,533,47423,18609,39343,3325,0.496275605
A2017\student1410,7807168,1383,996,399,357,29576,11132,25869,1787,0.894736842
A2017\student1412,4780424,1219,753,261,233,21991,8011,18358,1061,0.892720307
A2017\student1415,10169680,2336,1532,909,409,59443,24976,49752,3707,0.449944994
A2017\student1424,60000,,,,,1,1,,,
A2017\student1440,4619064,582,309,690,294,30138,9416,26386,1502,0.426086957
A2017\student1446,39840,,,,,94,,,,
A2017\student1452,35520,,,,,1,101,,,
A2017\student1453,0,,,,,1,,,25,
A2017\student1463,131520,,,,,69,6,4,6,
A2017\student1464,6732456,1244,587,482,275,33287,9316,28802,2070,0.570539419
A2017\student1465,2031552,18,17,,,189,75,149,4,
A2017\student1466,3768,2,,,,29,5,24,21,
A2017\student1468,2704,6,5,,,23,23,14,,
A2017\student1482,4489464,915,569,485,354,26633,8510,23063,2748,0.729896907
A2017\student1483,397912,63,23,49,70,1896,399,1617,268,1.428571429
A2017\student1502,5760,,,,,10,,,,
A2017\student1517,4680648,1249,889,598,375,25488,32326,21246,1309,0.627090301
A2017\student1518,47872,15,11,,,180,101,143,35,
A2017\student1542,4320,,,,,2,,,,
