student_assignment,total_time,compiled,compiled successfully,ran_tests,test_results,modified,add_lines,change,remove_lines,average_test_results
A2016\student9949,4095560,805,464,401,1291,26452,7616,22891,2236,3.219451372
A2016\student9972,110936,18,13,22,66,184,978,125,52,3
A2016\student9998,5061536,1548,1227,630,1189,28835,13728,24356,1093,1.887301587
A2017\student1009,4868048,1034,509,541,318,23380,9005,19951,879,0.58780037
A2017\student1013,1826568,18,13,,,276,424,207,102,
A2017\student1016,66240,,,,,1,,,8,
A2017\student1021,15824024,3094,2212,1056,579,80588,80284,65539,8241,0.548295455
A2017\student1029,40800,,,,,1,,,631,
A2017\student1037,3654440,1922,1347,436,237,18180,10562,14442,1079,0.543577982
A2017\student1047,87368,,,,,1,207,,,
A2017\student1066,15400,4,4,,,81,24,60,22,
A2017\student1068,7274984,997,731,456,204,40430,23441,30048,8550,0.447368421
A2017\student1080,5959104,3437,2234,343,235,31591,176812,24013,3107,0.685131195
A2017\student1093,6923384,1571,1044,377,261,35380,83807,29354,1972,0.692307692
A2017\student1110,3734304,806,640,450,190,20327,8146,16495,888,0.422222222
A2017\student1120,10268600,879,505,1147,952,47771,97838,40927,2179,0.829991282
A2017\student1132,1316192,22,19,25,79,732,1340,595,47,3.16
A2017\student1146,1341480,1,,,,4,8,,26,
A2017\student1165,64,,,,,1,,,6,
A2017\student1173,64808,,,,,1,8,,,
A2017\student1180,2475360,9,8,3,,277,109,247,33,
A2017\student1193,5032880,992,634,288,321,26906,8375,23424,906,1.114583333
A2017\student1202,66720,,,,,1,10,,,
A2017\student1213,6634736,1100,826,409,283,40533,12389,34552,1169,0.69193154
A2017\student1253,11090216,2117,1465,484,175,62143,23431,51836,3120,0.361570248
A2017\student1266,5616360,1061,778,604,414,30946,7865,27266,1220,0.685430464
A2017\student1268,1889272,546,152,131,,11414,3237,9794,1012,
A2017\student1269,454272,125,20,19,41,1567,648,1266,141,2.157894737
A2017\student1278,2048,,,,,13,121,1,6,
A2017\student1297,6516776,768,463,826,406,32039,17806,25685,3317,0.491525424
A2017\student1302,588960,6,3,4,,7,15,3,,
A2017\student1303,15360,,,,,1,,,8,
A2017\student1313,3284224,320,241,12,,9495,18492,7987,380,
A2017\student1317,2688136,10,5,,,138,82,118,45,
A2017\student1324,98072,87,81,27,,107,466,60,2,
A2017\student1329,144264,,,,,169,271,70,1,
A2017\student1336,66240,,,,,141,,,,
A2017\student1352,7198576,1981,1363,959,252,36766,144158,31647,1112,0.262773723
A2017\student1364,4452888,2,2,,,32,,,28,
A2017\student1366,6423848,802,562,399,377,30606,11476,25577,1104,0.944862155
A2017\student1372,3019528,1024,777,203,46,19103,46450,15955,1693,0.226600985
A2017\student1383,9293160,2379,1188,1074,533,47423,18609,39343,3325,0.496275605
A2017\student1410,7807168,1383,996,399,357,29576,11132,25869,1787,0.894736842
A2017\student1412,4780424,1219,753,261,233,21991,8011,18358,1061,0.892720307
A2017\student1415,10169680,2336,1532,909,409,59443,24976,49752,3707,0.449944994
A2017\student1424,60000,,,,,1,1,,,
A2017\student1440,4619064,582,309,690,294,30138,9416,26386,1502,0.426086957
A2017\student1446,39840,,,,,94,,,,
A2017\student1452,35520,,,,,1,101,,,
A2017\student1453,0,,,,,1,,,25,
A2017\student1463,131520,,,,,69,6,4,6,
A2017\student1464,6732456,1244,587,482,275,33287,9316,28802,2070,0.570539419
A2017\student1465,2031552,18,17,,,189,75,149,4,
A2017\student1466,3768,2,,,,29,5,24,21,
A2017\student1468,2704,6,5,,,23,23,14,,
A2017\student1482,4489464,915,569,485,354,26633,8510,23063,2748,0.729896907
A2017\student1483,397912,63,23,49,70,1896,399,1617,268,1.428571429
A2017\student1502,5760,,,,,10,,,,
A2017\student1517,4680648,1249,889,598,375,25488,32326,21246,1309,0.627090301
A2017\student1518,47872,15,11,,,180,101,143,35,
A2017\student1542,4320,,,,,2,,,,
A2017\student1547,38744,23,23,,,134,96,87,27,
A2017\student1548,744,1,1,,,61,,,,
A2017\student1551,6243896,1753,1230,564,322,32686,51911,27398,2263,0.570921986
A2017\student1565,3195000,527,259,198,82,18027,3562,16078,944,0.414141414
A2017\student1579,66240,,,,,5,,,,
A2017\student1581,1876712,4,2,,,33,15,28,27,
A2017\student1582,4151032,685,325,367,233,22030,9478,18231,2470,0.634877384
A2017\student1583,12649360,3021,2327,578,771,60813,45816,51222,3429,1.333910035
A2017\student1597,4465232,623,377,364,328,26434,12276,23405,593,0.901098901
A2017\student1600,6825576,1369,885,1056,672,32757,15942,27037,1794,0.636363636
A2017\student1616,6277632,1389,1170,458,354,32595,11337,28290,3423,0.772925764
A2017\student1620,5231440,1161,717,801,298,27636,11300,22426,1557,0.372034956
A2017\student1624,6643672,783,459,456,323,19438,11317,16261,1272,0.708333333
A2017\student1640,3362224,366,199,238,197,20138,5137,17642,629,0.827731092
A2017\student1649,0,,,,,1,,,22,
A2017\student1671,32160,,,67,,18,,,,
A2017\student1688,5725504,1232,1011,216,96,22771,61831,18754,1961,0.444444444
A2017\student1704,11794424,2022,1404,609,341,74441,22304,63736,5492,0.559934319
A2017\student1710,5904120,1133,770,1161,674,29132,11435,23683,1785,0.580534022
A2017\student1725,354824,71,65,19,,1919,681,1668,38,
A2017\student1738,521880,170,144,58,,2656,1695,1921,252,
A2017\student1793,2544,,,,,13,19,,,
A2017\student1828,14802848,7978,6854,960,774,77388,68922,65715,5842,0.80625
A2017\student1833,12520,,,,,7,17,,,
A2017\student1845,3032384,750,509,308,274,12339,4611,10305,496,0.88961039
A2017\student1889,2098488,449,253,166,68,12054,3753,10387,888,0.409638554
A2017\student1891,2128,,,1,,3,,,,
A2017\student1916,8241640,1384,1030,872,508,47961,11868,41966,1634,0.582568807
A2017\student1938,0,,,,,1,,,269,
A2017\student1954,3579880,1068,769,202,171,17555,137996,14892,890,0.846534653
A2017\student1966,0,,,,,1,,,6,
A2017\student1976,7640488,1698,1158,844,724,34969,13790,29820,2929,0.857819905
A2017\student1995,66720,,,,,1,,,194,
A2017\student1996,1834560,358,178,259,73,11773,3655,10293,535,0.281853282
A2017\student2009,14324704,6252,4897,1643,1217,56351,50391,40054,8728,0.740718198
A2017\student2035,11563336,1846,1287,1610,1175,68111,40098,58795,3335,0.729813665
A2017\student2045,5362728,1446,805,981,852,20830,12606,16612,1469,0.868501529
A2017\student2063,3244736,506,171,549,161,19018,5647,16288,1349,0.293260474
A2017\student2068,1838024,8,8,,,231,65,204,52,
A2017\student2080,66720,,,,,1,8,,,
A2017\student2086,1545488,60,9,85,91,7104,1127,6276,128,1.070588235
A2017\student2117,3408,,,,,11,,,,
A2017\student2126,3335704,567,411,461,280,14779,5195,12575,683,0.607375271
A2017\student2142,3732768,365,209,476,306,22734,5245,19705,436,0.642857143
A2017\student2153,155664,25,15,,,1104,665,710,49,
A2017\student2155,3550368,17,9,2,,253,76,228,40,
A2017\student2157,6682928,1411,1032,784,426,33899,11125,29373,2159,0.543367347
A2017\student2160,2049624,670,517,144,0,8549,29415,7069,1361,0
A2017\student2176,5420784,1355,1037,636,556,31614,13754,26131,938,0.874213836
A2017\student2196,8311600,1269,975,641,560,48322,17004,41333,1740,0.873634945
A2017\student2197,5062856,1008,710,394,516,25817,24241,22524,794,1.30964467
A2017\student2206,1668800,490,214,219,96,6664,174709,5613,235,0.438356164
A2017\student2208,5336312,2082,1462,737,283,20959,25350,16025,1271,0.383989145
A2017\student2210,14896,,,28,,6,,,,
A2017\student2213,7231648,1466,1115,469,487,35725,14456,30467,2363,1.038379531
A2017\student2216,,,,,,,,,,
A2017\student2221,12877592,2380,1814,1300,1083,59038,22811,47537,3159,0.833076923
A2017\student2230,4320,,,,,1,1,,,
A2017\student2232,66720,,,,,1,8,,,
A2017\student2240,1257344,177,114,120,178,6392,988,5774,117,1.483333333
A2017\student2254,,,,,,,,,,
A2017\student2335,992,,,,,111,533,,,
A2017\student2338,2132528,237,129,102,23,12033,2675,10631,285,0.225490196
A2017\student2340,1919248,42,29,14,0,1019,607,903,147,0
A2017\student2343,6951144,2318,1619,360,240,47902,11390,42188,991,0.666666667
A2017\student2351,3940072,365,300,227,264,4695,4801,3842,402,1.162995595
A2017\student2354,5641544,1410,776,784,285,23694,17471,19998,1358,0.363520408
A2017\student2364,2986232,30,22,13,0,893,446,739,242,0
A2017\student2386,244400,65,30,2,,1295,576,889,125,
A2017\student2406,6282736,623,505,166,30,14117,4410,11779,1016,0.180722892
A2017\student2417,10129080,1467,855,1705,566,46480,14545,39632,2376,0.331964809
A2017\student2421,763520,240,173,85,,3753,904,3302,1018,
A2017\student2437,8909856,2860,2072,881,1088,45947,12767,40913,1320,1.234960272
A2017\student2447,1350160,554,407,14,,7390,3356,5900,212,
A2017\student2463,8567648,1143,780,1036,332,35399,13663,29779,2165,0.32046332
A2017\student2464,2805704,273,194,212,110,13366,4092,11441,523,0.518867925
A2017\student2468,1822400,363,229,95,158,11745,4096,10101,469,1.663157895
A2017\student2472,1584056,8,4,1,,41,21,37,44,
A2017\student2477,9464,2,,,,33,37,25,50,
A2017\student2478,1740944,397,322,162,123,8283,4919,6579,362,0.759259259
A2017\student2486,1078552,147,106,77,76,6065,1755,5299,57,0.987012987
A2017\student2498,0,,,,,12,,,,
A2017\student2503,10135344,1517,1038,1338,793,41659,15644,35378,2003,0.592675635
A2017\student2508,0,,,,,1,,,25,
A2017\student2511,7803512,2323,1660,683,684,43813,15473,37105,2847,1.001464129
A2017\student2513,2400,,,,,1,,,26,
A2017\student2526,8584,3,2,11,0,36,97026,30,23,0
A2017\student2539,5322424,1696,1211,606,569,28000,15484,22620,1559,0.938943894
A2017\student2550,950368,154,77,4,0,5194,1239,4517,1173,0
A2017\student2553,29368,2,2,1,0,60,8,53,20,0
A2017\student2554,3038016,805,573,221,84,19232,6168,16511,1584,0.380090498
A2017\student2556,11804832,2910,1981,1280,453,60362,101298,49729,20950,0.35390625
A2017\student2567,1440,,,,,15,,,,
A2017\student2585,864,,,,,13,7,8,35,
A2017\student2586,0,,,,,10,,,,
A2017\student2634,155712,,,,,94,182,3,125,
A2017\student2648,6276304,1599,871,749,450,39287,11919,33932,1768,0.600801068
A2017\student2664,1609224,393,299,143,0,9606,5606,7295,577,0
A2017\student2675,93328,12,1,1,0,693,180,586,12,0
A2017\student2676,864,1,,,,3,1,,16,
A2017\student2689,4361808,759,464,372,106,21125,9262,16972,2029,0.284946237
A2017\student2704,3662800,549,398,256,339,10192,3040,8676,634,1.32421875
A2017\student2717,24,,,,,68,,,,
A2017\student2736,61920,,,,,1,1,,,
A2017\student2749,25440,,,,,1,,,24,
A2017\student2755,25440,,,,,1,15,,,
A2017\student2806,5726176,1530,1181,560,295,25785,11552,21010,1657,0.526785714
A2017\student2827,36000,,,,,1,,,66,
A2017\student2831,39360,,,,,1,,,21,
A2017\student2868,66720,,,,,1,4,,,
A2017\student2869,1838448,304,167,282,339,7294,5242,5688,1015,1.20212766
A2017\student2870,6782600,1914,1448,720,457,31030,17815,25297,2974,0.634722222
A2017\student2884,1799512,196,71,107,0,10028,3316,8601,771,0
A2017\student2886,0,,,,,1,,,6,
A2017\student2887,1624032,114,38,14,0,6724,2099,5878,719,0
A2017\student2888,240,,,1,,1,1,,,
A2017\student2895,48,,,,,1,1,,,
A2017\student2896,755424,65,53,1,0,589,423,519,33,0
A2017\student2900,28800,,,,,1,1,,,
A2017\student2908,92760,14,11,39,,337,370,272,19,
A2017\student2916,2825192,428,211,233,36,22641,4916,19998,686,0.154506438
A2017\student2922,66240,,,,,1,6,,,
A2017\student2925,1545152,236,120,137,435,9384,2218,8214,214,3.175182482
A2017\student2939,6639040,1095,777,436,606,35506,14351,32108,1009,1.389908257
A2017\student2941,8640,,,,,9,,,,
A2017\student2950,14082136,2862,1867,1803,821,62569,79326,55208,1639,0.455352191
A2017\student2953,15487096,4902,3966,1038,525,70905,41014,57795,7487,0.505780347
A2017\student2956,1309584,152,117,161,208,7566,2032,6364,240,1.291925466
A2017\student2967,5024176,757,514,314,114,29308,8722,24750,1888,0.363057325
A2017\student2972,608920,109,82,34,93,5254,784,4707,55,2.735294118
A2017\student3001,66240,,,,,1,,,6,
A2017\student3023,301080,69,32,,,627,221,350,19,
A2017\student3043,3341672,447,222,241,149,24739,4737,21934,832,0.618257261
A2017\student3071,48,,,,,1,,,46,
A2017\student3077,7408,4,3,,,75,50,50,3,
A2017\student3116,2610016,371,287,215,335,7429,26666,6284,255,1.558139535
A2017\student3133,0,,,,,1,,,19,
A2017\student3135,7215168,1879,1211,942,647,37378,11848,32528,2311,0.686836518
A2017\student3165,264960,,,,,1,1,,,
A2017\student3169,37768,12,7,10,14,52,251,35,17,1.4
A2017\student3171,6240,,,,,1,,,23,
A2017\student3178,5760,,,,,1,15,,,
A2017\student3182,9046216,3359,2093,612,436,45006,21618,37861,3366,0.712418301
A2017\student3186,48480,,,,,9,,,,
A2017\student3206,66720,,,,,1,,,23,
A2017\student3217,4680192,2215,1924,321,290,27869,19387,21376,2810,0.903426791
A2017\student3219,67200,,,,,19,,,,
A2017\student3253,6846200,1712,1305,353,193,35279,13729,29985,1972,0.54674221
A2017\student3287,66240,,,,,1,10,,,
A2017\student3306,62880,,,,,1,,,20,
A2017\student3313,3551544,631,380,256,207,21207,4794,18586,794,0.80859375
A2017\student3315,8224080,1674,1223,198,170,42744,54982,33865,4294,0.858585859
A2017\student3320,4029952,519,366,90,215,12396,5028,10130,678,2.388888889
A2017\student3329,1651464,40,28,,,334,331,259,58,
A2017\student3331,0,,,,,1,,,37,
A2017\student3350,9440264,2739,2079,602,432,46951,16219,39801,1597,0.717607973
A2017\student3367,5427496,1352,1010,396,387,31290,8514,27139,1217,0.977272727
A2017\student3386,2103720,28,13,,,270,875,219,40,
A2017\student3402,118616,,,5,0,223,275,38,69,0
A2017\student3403,4190752,1055,763,606,376,23432,7980,20154,1411,0.620462046
A2017\student3406,1685800,473,367,110,161,7714,2660,6538,291,1.463636364
A2017\student3411,0,,,,,1,,,20,
A2017\student3415,0,,,,,2,,,,
A2017\student3421,7895360,2347,1731,1241,844,36191,8986,32270,914,0.680096696
A2017\student3423,4125616,824,520,355,176,25548,9735,21770,1242,0.495774648
A2017\student3424,2059600,360,264,155,365,11583,4461,9842,1225,2.35483871
A2017\student3425,4809960,1126,779,286,105,26628,8501,22399,1401,0.367132867
A2017\student3432,29080,1,1,,,1,,,8,
A2017\student3436,3107320,699,451,248,214,17377,6114,14856,716,0.862903226
A2017\student3442,101976,27,18,19,,523,245,432,35,
A2017\student3483,66240,,,,,1,,,21,
A2017\student3485,66240,,,,,1,,,8,
A2017\student3489,57600,,,,,177,,,,
A2017\student3506,6086376,1435,883,502,303,33968,16308,29603,1476,0.603585657
A2017\student3512,0,,,,,1,,,25,
A2017\student3515,36960,,,,,66,,,,
A2017\student3516,3798712,1386,967,69,0,22018,11908,17459,1354,0
A2017\student3517,6894584,1388,940,711,188,30874,11056,26376,1371,0.264416315
A2017\student3535,65760,,,,,11,,,,
A2017\student3542,246240,,,3,,125,2,1,1,
A2017\student3546,1248344,200,112,198,48,5956,5209,4069,981,0.242424242
A2017\student3557,13208,9,8,9,,9,160,5,,
A2017\student3567,4816,,,,,18,408,13,18,
A2017\student3568,8578400,2218,1785,760,550,53113,16303,45483,2011,0.723684211
A2017\student3572,21120,44,44,,,1,,,1049,
A2017\student3594,2113328,18,18,,,58,20,47,4,
A2017\student3610,1432488,352,296,,,9456,3008,7738,739,
A2017\student3614,13049208,2612,1689,886,306,61371,111799,51721,4606,0.34537246
A2017\student3624,2679920,498,193,162,64,15502,8233,13101,2165,0.395061728
A2017\student3631,2326328,3,1,1,,33,16,30,757,
A2017\student3634,60000,,,,,5,,,,
A2017\student3666,64,,,,,11,,,,
A2017\student3671,7284576,2058,1673,722,294,42362,66235,34939,2294,0.407202216
A2017\student3677,3461168,1205,893,334,133,20372,434940,15921,306833,0.398203593
A2017\student3678,200160,140,,140,,1,,,19,
A2017\student3701,1968,,,,,134,,,,
A2017\student3715,66240,,,,,1,2,,,
A2017\student3717,61440,,,,,1,,,21,
A2017\student3719,66720,,,,,1,,,219,
A2017\student3722,36480,,,,,1,8,,,
A2017\student3732,3503048,604,334,261,146,20252,4965,17681,553,0.559386973
A2017\student3736,2173424,383,270,157,158,13982,3367,12384,437,1.006369427
A2017\student3739,48,,,,,56,,,,
A2017\student3756,68120,39,38,14,,266,358,200,13,
A2017\student3776,6764328,1380,1058,444,185,32475,17550,27940,1920,0.416666667
A2017\student3777,6169112,1164,572,604,395,34750,6924,31225,982,0.65397351
A2017\student3780,11904,1,1,6,,10,110,3,33,
A2017\student3790,6784,,,,,29,7,21,36,
A2017\student3791,36000,,,,,1,1,,,
A2017\student3807,13920,,,,,1,1,,,
A2017\student3819,178800,56,37,,,976,423,784,125,
A2017\student3836,5979200,1718,1032,602,242,33907,33714,28345,1903,0.401993355
A2017\student3841,13440,,,,,3,,,,
A2017\student3853,2175760,420,254,242,199,12066,3287,10404,371,0.82231405
A2017\student3856,4945080,1209,754,512,516,29624,7859,25767,1580,1.0078125
A2017\student3857,7724312,4836,3562,999,897,37449,40122,29226,2757,0.897897898
A2017\student3866,5152384,911,590,236,112,30760,9843,26276,1173,0.474576271
A2017\student3867,34520,,,19,0,14,10,3,716,0
A2017\student3871,5024736,1373,1035,563,301,28328,9556,23950,1619,0.534635879
A2017\student3872,9120,,,,,8,,,,
A2017\student3899,29432,14,12,3,18,54,78,49,1,6
A2017\student3900,1912304,137,65,71,20,9347,2639,8186,169,0.281690141
A2017\student3925,54744,10,7,,,323,267,239,77,
A2017\student3940,104,,,,,1,15,,,
A2017\student3943,7988432,981,706,519,189,39944,16265,34518,3279,0.36416185
A2017\student3978,32320,7,7,1,,88,231,62,1554,
A2017\student4011,66720,,,,,,,,,
A2017\student4014,1101152,94,30,32,8,7376,1324,6394,141,0.25
A2017\student4016,9927992,2774,2112,834,207,48341,17071,40939,1986,0.248201439
A2017\student4026,912752,197,145,97,257,5824,586,5483,112,2.649484536
A2017\student4036,7778632,1487,1128,684,425,47000,24379,40105,2152,0.621345029
A2017\student4043,1440,,,,,12,,,,
A2017\student4059,2785976,296,205,264,183,12704,4930,11006,559,0.693181818
A2017\student4076,1756520,378,159,176,57,11947,3589,10491,2628,0.323863636
A2017\student4082,0,,,,,1,1,,,
A2017\student4095,60000,,,,,1,,,19,
A2017\student4096,6537448,1905,1319,473,207,35466,48654,29417,2933,0.437632135
A2017\student4100,7964472,1564,1227,915,474,40390,13107,34309,1574,0.518032787
A2017\student4105,316984,46,34,38,,1128,681,739,430,
A2017\student4108,4320312,714,497,341,305,21511,7969,18494,1923,0.894428152
A2017\student4110,1357576,219,144,92,91,8459,2508,7188,149,0.989130435
A2017\student4128,298304,40,31,,,1181,227,1035,4,
A2017\student4134,11617088,3010,1918,1057,566,65048,17257,55293,3791,0.535477767
A2017\student4141,2624288,509,313,216,134,13706,4514,11834,1498,0.62037037
A2017\student4150,24960,,,,,3,,,,
A2017\student4152,8522312,2257,1149,843,299,52866,15470,46527,3269,0.354685647
A2017\student4155,14100608,3475,2608,3087,1008,59133,38946,49028,5064,0.326530612
A2017\student4161,1203768,348,295,94,295,5571,1639,4533,65,3.138297872
A2017\student4163,48,,,,,10,,,,
A2017\student4167,368,,,,,22,,,,
A2017\student4185,66720,,,,,1,,,23,
A2017\student4192,0,,,,,16,,,,
A2017\student4195,72152,25,18,3,,294,407,215,59,
A2017\student4207,36000,,,,,1,10,,,
A2017\student4237,24,,,,,10,,,,
A2017\student4253,0,,,,,1,15,,,
A2017\student4261,9970584,1480,1068,1193,1036,53841,19631,46060,3372,0.868398994
A2017\student4265,2590248,446,224,432,90,17860,8074,15316,1196,0.208333333
A2017\student4273,664200,90,53,18,0,2228,435,1908,30,0
A2017\student4280,4176944,330,207,348,90,12546,5326,10773,413,0.25862069
A2017\student4296,3318808,215,144,48,147,4165,2655,3498,421,3.0625
A2017\student4305,7946336,1367,742,510,368,53657,11926,47030,1847,0.721568627
A2017\student4322,4753928,635,432,709,487,23451,6917,20870,872,0.686882934
A2017\student4326,36000,,,,,1,,,1,
A2017\student4331,66240,,,,,1,,,8,
A2017\student4343,1920,,,4,,1,,,22,
A2017\student4370,4602952,1198,944,444,224,20975,9192,17366,1443,0.504504505
A2017\student4389,0,,,,,1,,,26,
A2017\student4391,3331848,289,152,436,176,16037,4008,14003,313,0.403669725
A2017\student4393,639864,141,69,14,0,2567,526,2271,190,0
A2017\student4397,7150040,1102,671,522,283,35019,7060,30918,1009,0.542145594
A2017\student4415,2447544,5,4,1,,23,43,10,32,
A2017\student4420,9625832,2564,1872,1001,582,48593,16173,40768,2575,0.581418581
A2017\student4438,66240,,,,,14,,,,
A2017\student4454,3063224,653,438,330,290,18823,7206,16052,782,0.878787879
A2017\student4456,180360,13,7,35,,197,22,115,6,
A2017\student4466,3536320,1271,742,401,325,15589,10267,12708,979,0.810473815
A2017\student4468,4710592,568,243,711,387,27313,10928,23290,1498,0.544303797
A2017\student4469,480,2,,2,,1,,,15,
A2017\student4471,3493680,82,67,1,,141,72,114,87,
A2017\student4473,1471760,3,2,5,,130,28,118,728,
A2017\student4519,6231288,1186,823,497,462,36855,9206,31683,1233,0.929577465
A2017\student4526,536,1,,,,3,22,,713,
A2017\student4537,2068000,453,249,181,85,13035,3042,11505,1542,0.46961326
A2017\student4554,5614512,1076,744,592,518,29628,200274,25816,884,0.875
A2017\student4559,4928664,594,407,513,276,35532,8723,30671,1367,0.538011696
A2017\student4575,1093368,15,10,30,,200,38,179,35,
A2017\student4577,7759136,2423,1830,634,670,48768,24329,41874,2460,1.056782334
A2017\student4587,2034152,435,323,162,649,12011,3070,10733,279,4.00617284
A2017\student4628,0,,,,,1,,,22,
A2017\student4635,9472,2,2,,,54,42,40,8,
A2017\student4638,7559376,2023,1116,438,332,39941,13477,34761,2886,0.757990868
A2017\student4639,480,,,,,127,,,,
A2017\student4640,15268240,1838,1039,1999,748,81671,23641,70273,5182,0.374187094
A2017\student4644,,,,,,,,,,
A2017\student4647,3028736,11,9,4,,84,22,79,24,
A2017\student4655,3110496,743,477,421,251,17297,6311,14756,1628,0.596199525
A2017\student4659,0,,,,,1,,,26,
A2017\student4661,3082456,924,567,294,250,16528,8039,13762,1671,0.850340136
A2017\student4665,499680,143,127,41,33,2083,568,1637,59,0.804878049
A2017\student4681,5141480,1266,1021,415,84,28626,38906,24604,2057,0.202409639
A2017\student4682,4029000,1030,705,625,136,21534,10859,17982,1291,0.2176
A2017\student4683,4179224,725,456,285,275,29353,6342,25836,707,0.964912281
A2017\student4729,5892032,1704,1033,430,182,31729,10976,27022,1195,0.423255814
A2017\student4736,4647712,730,561,319,277,34324,9084,30245,640,0.868338558
A2017\student4740,5238552,981,540,699,267,30889,9942,26037,874,0.381974249
A2017\student4748,7218552,1404,1031,764,211,29946,152736,25452,806,0.27617801
A2017\student4749,2011064,255,149,374,264,11639,5299,9691,1071,0.705882353
A2017\student4766,2400,,,,,1,,,22,
A2017\student4770,9583048,3268,2536,1099,663,44812,22050,35479,2573,0.603275705
A2017\student4771,0,,,,,109,,,,
A2017\student4772,7137424,1414,1073,552,325,34723,40055,27752,2251,0.588768116
A2017\student4785,8284032,2316,1828,1085,542,44159,17435,36728,1894,0.499539171
A2017\student4798,3984904,1120,523,399,65,23653,6768,20596,1135,0.162907268
A2017\student4804,65760,,,,,110,,,,
A2017\student4806,0,,,,,27,,,,
A2017\student4814,6240,,,,,1,,,8,
A2017\student4819,56,,,,,146,,,,
A2017\student4824,15720256,4591,3245,2172,1543,67035,16919,58280,2836,0.710405157
A2017\student4825,218368,89,57,60,,799,257,594,59,
A2017\student4850,4752,2,,,,14,110,,12,
A2017\student4852,66240,,,,,1,,,6,
A2017\student4857,2174128,504,263,158,70,13911,3775,12020,1023,0.443037975
A2017\student4860,,,,,,,,,,
A2017\student4863,2914976,15,4,5,,143,50,130,21,
A2017\student4867,0,,,,,3,,,,
A2017\student4878,56,,,,,54,,,,
A2017\student4882,10116424,1863,1273,1562,507,53978,13248,46915,1983,0.324583867
A2017\student4896,264960,,,,,140,1,,,
A2017\student4903,112,,,,,8,,,,
A2017\student4934,4476128,917,672,475,288,21624,7009,18896,1225,0.606315789
A2017\student4949,2804704,12,3,1,,242,105,202,46,
A2017\student4959,1159168,11,5,3,,134,834,90,50,
A2017\student4966,66240,,,,,1,36,,,
A2017\student4973,2678256,1154,894,176,36,15108,30287,11662,6825,0.204545455
A2017\student4995,459160,146,113,22,52,3208,1307,2745,508,2.363636364
A2017\student4998,1062016,191,150,197,243,5834,2700,4430,416,1.233502538
A2017\student5005,4355032,887,367,301,191,28012,5569,24880,683,0.634551495
A2017\student5015,658224,93,55,16,14,47,1010,,,0.875
A2017\student5044,16800,,,,,1,,,269,
A2017\student5068,2580208,693,466,231,123,12400,4426,10858,591,0.532467532
A2017\student5071,0,,,,,1,1,,,
A2017\student5078,528,,,,,140,,,,
A2017\student5106,3246736,634,479,511,272,14829,6765,11615,775,0.532289628
A2017\student5109,4186160,1997,1284,468,170,24210,18334,18278,4421,0.363247863
A2017\student5132,9455240,2421,1720,617,282,47044,15493,39068,2655,0.457050243
A2017\student5140,4743584,126,68,34,32,3087,1246,2715,125,0.941176471
A2017\student5160,6466944,1736,1191,589,534,32843,14806,26404,2468,0.906621392
A2017\student5166,7524784,1246,772,1163,416,41615,103891,33785,3292,0.357695615
A2017\student5170,7136,10,10,,,4,68,1,22,
A2017\student5172,2952288,302,221,118,133,8780,2783,7372,287,1.127118644
A2017\student5193,4308120,1610,1350,926,626,21495,124840,14978,6349,0.676025918
A2017\student5220,3743664,645,400,386,181,22898,94528,19974,1044,0.468911917
A2017\student5222,1776,,,2,,2,,1,19,
A2017\student5225,62152,26,20,,,410,50,370,,
A2017\student5226,66720,,,,,19,,,,
A2017\student5236,6128832,1095,807,483,425,24974,6882,21546,820,0.879917184
A2017\student5244,65760,,,,,1,4,,,
A2017\student5261,2203904,773,662,195,0,12807,7214,10117,856,0
A2017\student5268,0,,,,,1,1,,,
A2017\student5276,7287496,2083,1335,521,404,34125,12462,29404,1586,0.775431862
A2017\student5284,7309864,3030,2372,297,68,41034,27190,34167,1764,0.228956229
A2017\student5287,6046976,1366,1141,459,266,34943,25164,27307,6522,0.579520697
A2017\student5296,0,,,,,1,1,,,
A2017\student5297,66240,,,,,19,,,,
A2017\student5298,25440,,,,,5,,,,
A2017\student5345,27200,,,,,217,24,45,16,
A2017\student5348,6255520,3093,2594,908,519,34393,90433,26086,7759,0.571585903
A2017\student5355,3590360,504,267,621,144,19611,10397,16840,2479,0.231884058
A2017\student5366,1240,,,,,1,,,1,
A2017\student5370,66240,,,,,7,,,,
A2017\student5374,1225344,235,116,126,116,7519,2524,6456,431,0.920634921
A2017\student5378,1311976,10,4,17,,14,,,,
A2017\student5380,1085136,58,39,13,10,1321,412,1114,104,0.769230769
A2017\student5381,2153736,409,306,158,253,9418,3328,7945,1158,1.601265823
A2017\student5383,1811176,306,160,165,68,11769,3004,10139,407,0.412121212
A2017\student5397,0,,,,,1,,,25,
A2017\student5399,39360,,,,,5,,,,
A2017\student5403,5153328,,,3,,59,27,40,20,
A2017\student5412,6357888,1388,1209,494,448,29512,15978,24494,1159,0.906882591
A2017\student5420,17280,,,,,1,,1,,
A2017\student5435,48,,,,,6,,,,
A2017\student5436,1912368,281,144,132,127,12883,2372,11559,1265,0.962121212
A2017\student5468,64,,,,,1,,,22,
A2017\student5470,273960,32,20,1,,329,203,162,90,
A2017\student5475,12120,,,6,,23,131,6,10,
A2017\student5482,2010384,239,54,62,25,12608,2168,11315,368,0.403225806
A2017\student5485,3840,9,9,9,,7,,,,
A2017\student5488,1667680,302,197,42,51,9830,2111,8577,231,1.214285714
